21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,18
0,1,2,0,1,2,0,16,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,11
6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,11
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,11
17,17,17,17,17,28,17,17,17,17,17,17,17,17,17,17,17,17,17,29,17,17,17,28,11
28,29,28,29,28,29,17,17,17,17,17,17,17,17,17,17,17,17,17,29,17,17,17,28,11
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,29,17,17,17,28,11
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,28,29,28,29,17,17,17,28,11
25,26,35,39,35,39,35,39,35,39,28,29,28,29,28,28,29,17,17,17,17,17,17,17,11
31,32,17,17,17,17,17,17,17,17,28,17,17,17,17,17,17,17,17,40,17,17,17,17,11
37,38,17,17,41,17,17,17,17,17,28,17,17,17,17,17,17,40,17,17,17,40,17,17,11
17,17,17,17,17,17,17,17,41,17,28,17,17,17,17,17,17,17,17,17,17,17,17,17,11
17,17,17,17,17,17,17,17,17,17,28,17,17,28,29,28,29,28,29,28,29,28,29,29,11
28,29,28,29,28,29,28,29,28,29,28,17,17,29,33,33,33,33,33,33,33,33,33,33,11
17,17,17,17,17,17,17,17,17,17,17,17,17,29,17,17,17,17,17,17,17,17,17,33,11
17,17,17,17,17,17,17,17,17,17,17,17,17,29,17,17,17,17,34,17,17,17,17,33,11
28,29,28,29,28,29,28,29,28,29,28,29,28,29,17,17,34,17,17,17,17,17,17,33,11
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,34,17,17,33,11
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,34,17,17,17,17,33,11
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18
